conference_year,session_id,display_session_id,title,date,date_label,start_time,end_time,location,tracks,speakers,speaker_affiliations,description,session_format,adds,likes,comments,source
2022,122828,122828,Beyond Behavior: Examining Role Congruity Theory Through a Cognitive Lens,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 23,,,,"© ,  9 The Thursday Room Position 23",Poster,,,,2022 SIOP archived program OCR
2022,123623,123623,Bottom-Line Mentality and Leader Behavior: Do Leaders and Followers Agree?,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 29,,,,"© ,  9 The Thursday Room Position 29",Poster,,,,2022 SIOP archived program OCR
2022,123587,123587,Boundary Conditions for Shared Leadership: Team Leadership Coordination Perspective,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 31,,,,"© ,  9 The Thursday Room Position 31",Poster,,,,2022 SIOP archived program OCR
2022,123562,123562,Characteristics of High Potential Executives who Actualize Their Potential,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 14,,,,"G ,  9 The Thursday Room Position 14",Poster,,,,2022 SIOP archived program OCR
2022,123025,123025,Cynical Followers: Negative ILTs on the Perception of Leader Errors,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 17,,,,"© ,  9 The Thursday Room Position 17",Poster,,,,2022 SIOP archived program OCR
2022,124033,124033,Does Leader Character Have a Gender?,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 19,,,,"G ,  9 The Thursday Room Position 19",Poster,,,,2022 SIOP archived program OCR
2022,123830,123830,Employees’ Perceptions of Safety and Being Physically at Work in the COVID- 19 World,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 24,,,,"© ,  9 The Thursday Room Position 24",Poster,,,,2022 SIOP archived program OCR
2022,123942,123942,Empowering Leadership and Employee Creativity: A Stress Perspective,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 21,,,,"© ,  9 The Thursday Room Position 21",Poster,,,,2022 SIOP archived program OCR
2022,123904,123904,Examining the Conditions Under Which Coproducing Followers Influence Leaders,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 2,,,,"© ,  9 The Thursday Room Position 2",Poster,,,,2022 SIOP archived program OCR
2022,123821,123821,Experiences of Abuse: Attributions and Effects of Abusive Supervision,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 3,,,,"G ,  9 The Thursday Room Position 3",Poster,,,,2022 SIOP archived program OCR
2022,123630,123630,"Genetics, Leadership, and Well-Being: An Investigation With a Large-Scale GWAS",2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 27,,,,"© ,  9 The Thursday Room Position 27",Poster,,,,2022 SIOP archived program OCR
2022,123794,123794,Leader Creative Performance: The Effect of Understanding Stakeholders' Mental Models,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 5,,,,"© ,  9 The Thursday Room Position 5",Poster,,,,2022 SIOP archived program OCR
2022,123127,123127,Mental Illness Stigma Toward Leaders: Consequences for Follower Outcomes,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 25,,,,"G ,  9 The Thursday Room Position 25",Poster,,,,2022 SIOP archived program OCR
2022,123237,123237,Motivational Contagion in a Leader-Follower Dynamic,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 22,,,,"© ,  9 The Thursday Room Position 22",Poster,,,,2022 SIOP archived program OCR
2022,123108,123108,"Q A “Perfect Storm"": Perfectionists’ Perceptions and Experiences of Abusive Supervision",2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 30,,,,"© ,  9 The Thursday Room Position 30",Poster,,,,2022 SIOP archived program OCR
2022,123326,123326,Q Age Differentiated Leadership and Healthy Aging at Work,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 6,,,,"© ,  9 The Thursday Room Position 6",Poster,,,,2022 SIOP archived program OCR
2022,123513,123513,Q An Examination of the Relationship Between Learning Agility and Cognitive Ability,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 4,,,,"© ,  9 The Thursday Room Position 4",Poster,,,,2022 SIOP archived program OCR
2022,123552,123552,Q Authentic Leadership and Innovative Work Behaviors: The Role of Attachment to Leaders,2022-04-20,Apr 20,10:30 AM,11:20 AM,The Thursday Room Position 13,,,,"© ,  9 The Thursday Room Position 13",Poster,,,,2022 SIOP archived program OCR
